id;matchDay;date;time;clubIdHome;clubIdGuest;goalsHome;goalsGuest
210;24;02.03.2024;14:30;16;10;1;1
211;24;02.03.2024;14:30;12;4;1;4
212;24;02.03.2024;14:30;6;17;1;2
213;24;02.03.2024;14:30;18;9;0;6
214;24;02.03.2024;17:30;5;11;2;3
215;24;03.03.2024;14:30;14;3;0;2
216;24;03.03.2024;16:30;7;1;2;1
217;25;08.03.2024;19:30;11;15;2;0
218;25;09.03.2024;14:30;2;16;8;1
219;25;09.03.2024;14:30;4;18;2;0
220;25;09.03.2024;14:30;10;14;3;3
221;25;09.03.2024;14:30;9;6;1;0
222;25;09.03.2024;17:30;1;13;1;2
223;25;10.03.2024;14:30;12;8;1;2
224;25;10.03.2024;16:30;17;7;3;1
225;25;10.03.2024;18:30;3;5;2;0
226;26;15.03.2024;19:30;14;4;1;5
227;26;16.03.2024;14:30;15;1;2;1
228;26;16.03.2024;14:30;5;9;1;3
229;26;16.03.2024;14:30;16;12;2;0
230;26;16.03.2024;14:30;6;10;1;1
231;26;16.03.2024;14:30;18;2;2;5
232;26;16.03.2024;17:30;7;11;0;3
233;26;17.03.2024;14:30;8;3;2;3
234;26;17.03.2024;16:30;13;17;3;1
235;27;30.03.2024;14:30;4;16;0;0
236;27;30.03.2024;14:30;3;7;2;1
237;27;30.03.2024;14:30;17;15;0;0
238;27;30.03.2024;14:30;10;8;0;3
239;27;30.03.2024;14:30;1;5;0;2
240;27;30.03.2024;17:30;2;13;0;2
241;27;31.03.2024;13:30;9;14;1;1
242;27;31.03.2024;15:30;11;6;3;3
243;27;31.03.2024;17:30;12;18;2;2
244;28;05.04.2024;18:30;17;1;1;1
245;28;06.04.2024;13:30;15;3;0;1
246;28;06.04.2024;13:30;8;4;1;4
247;28;06.04.2024;13:30;16;18;4;0
248;28;06.04.2024;13:30;14;12;2;1
249;28;06.04.2024;13:30;6;2;3;2
250;28;06.04.2024;16:30;13;11;0;1
251;28;07.04.2024;13:30;7;9;3;1
252;28;07.04.2024;15:30;5;10;1;3
253;29;12.04.2024;18:30;9;15;2;0
254;29;13.04.2024;13:30;2;14;2;0
255;29;13.04.2024;13:30;4;5;3;0
256;29;13.04.2024;13:30;16;7;4;1
257;29;13.04.2024;13:30;10;13;1;2
258;29;13.04.2024;13:30;12;6;1;1
259;29;13.04.2024;16:30;11;17;3;0
260;29;14.04.2024;13:30;18;8;0;1
261;29;14.04.2024;15:30;3;1;5;0
262;30;19.04.2024;18:30;17;9;3;1
263;30;20.04.2024;13:30;5;12;1;0
264;30;20.04.2024;13:30;14;18;0;2
265;30;20.04.2024;13:30;7;10;4;3
266;30;20.04.2024;13:30;6;4;1;2
267;30;20.04.2024;16:30;15;2;1;5
268;30;21.04.2024;13:30;1;11;2;1
269;30;21.04.2024;15:30;13;3;1;1
270;30;21.04.2024;17:30;8;16;1;1
271;31;26.04.2024;18:30;12;7;3;2
272;31;27.04.2024;13:30;2;17;2;1
273;31;27.04.2024;13:30;4;13;4;1
274;31;27.04.2024;13:30;8;5;1;2
275;31;27.04.2024;13:30;9;1;0;3
276;31;27.04.2024;16:30;3;11;2;2
277;31;28.04.2024;13:30;10;15;0;0
278;31;28.04.2024;15:30;16;14;1;1
279;31;28.04.2024;17:30;18;6;0;1
280;32;03.05.2024;18:30;7;4;1;1
281;32;04.05.2024;13:30;13;9;5;1
282;32;04.05.2024;13:30;5;18;3;0
283;32;04.05.2024;13:30;1;10;2;2
284;32;04.05.2024;13:30;11;2;3;1
285;32;04.05.2024;16:30;14;8;0;0
286;32;05.05.2024;13:30;15;12;3;4
287;32;05.05.2024;15:30;17;3;1;5
288;32;05.05.2024;17:30;6;16;1;1
289;33;10.05.2024;18:30;9;11;0;1
290;33;11.05.2024;13:30;4;1;1;1
291;33;11.05.2024;13:30;8;6;1;1
292;33;11.05.2024;13:30;10;17;1;1
293;33;11.05.2024;13:30;14;15;3;2
294;33;11.05.2024;16:30;16;13;3;0
295;33;12.05.2024;13:30;18;7;0;6
296;33;12.05.2024;15:30;2;5;2;0
297;33;12.05.2024;17:30;12;3;0;5
298;34;18.05.2024;13:30;13;18;4;0
